votes,playerID,yearID,votedBy,ballots,needed,inducted,category,needed_note
12,baylodo01,1995,BBWAA,460,345,N,Player,NA
0,beaucji01,1979,BBWAA,432,324,N,Player,NA
1,beaumgi01,1938,BBWAA,262,197,N,Player,NA
1,beaumgi01,1942,BBWAA,233,175,N,Player,NA
1,beaumgi01,1945,BBWAA,247,186,N,Player,NA
1,beaumgi01,1946,Nominating Vote,202,NA,N,Player,Players in top 20 proceed to final ballot
NA,beaumgi01,1982,Veterans,NA,NA,N,Player,NA
NA,beaumgi01,2003,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,beaumgi01,2005,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,beaumgi01,2007,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
1,beckegl01,1981,BBWAA,401,301,N,Player,NA
NA,beckegl01,2003,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
0,beckejo02,2020,BBWAA,397,298,N,Player,NA
1,becklja01,1936,Veterans,78,59,N,Player,NA
1,becklja01,1942,BBWAA,233,175,N,Player,NA
NA,becklja01,1953,Veterans,NA,NA,N,Player,NA
NA,becklja01,1955,Veterans,NA,NA,N,Player,NA
NA,becklja01,1957,Veterans,NA,NA,N,Player,NA
NA,becklja01,1959,Veterans,NA,NA,N,Player,NA
NA,becklja01,1961,Veterans,NA,NA,N,Player,Preliminary poll
NA,becklja01,1962,Veterans,NA,NA,N,Player,Preliminary poll
NA,becklja01,1963,Veterans,NA,NA,N,Player,Group A - Holdover from 1962 ballot - two could be elected from Group A
NA,becklja01,1964,Veterans,NA,NA,N,Player,NA
NA,becklja01,1971,Veterans,NA,NA,Y,Player,NA
2,beckro01,2008,BBWAA,543,408,N,Player,NA
NA,beckwjo02,1982,Veterans,NA,NA,N,Player,NA
NA,beckwjo02,2006,Negro League,NA,NA,N,Player,NA
1,bedrost01,2001,BBWAA,515,387,N,Player,NA
16,belanma01,1988,BBWAA,427,321,N,Player,NA
NA,belanma01,2005,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,belanma01,2007,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
8,bellbu01,1995,BBWAA,460,345,N,Player,NA
NA,bellco99,1974,Negro League,NA,NA,Y,Player,NA
40,belleal01,2006,BBWAA,520,390,N,Player,NA
19,belleal01,2007,BBWAA,545,409,N,Player,NA
NA,belleal01,2017,Veterans - Today's Game Era,16,12,N,Player,<5 votes
NA,belleal01,2019,Veterans - Today's Game Era,16,12,N,Player,<5 votes
NA,belleal01,2023,Contemporary Era,16,12,N,Player,<4 votes
6,bellge02,1999,BBWAA,497,373,N,Player,NA
0,bellhe01,2020,BBWAA,397,298,N,Player,NA
2,bellja01,2009,BBWAA,539,405,N,Player,NA
NA,bellwi01,2006,Negro League,NA,NA,N,Player,NA
366,beltrad01,2024,BBWAA,385,289,Y,Player,NA
181,beltrca01,2023,BBWAA,389,292,N,Player,NA
220,beltrca01,2024,BBWAA,385,289,N,Player,NA
431,benchjo01,1989,BBWAA,447,336,Y,Player,NA
2,bendech01,1936,BBWAA,226,170,N,Player,NA
17,bendech01,1937,BBWAA,201,151,N,Player,NA
33,bendech01,1938,BBWAA,262,197,N,Player,NA
40,bendech01,1939,BBWAA,274,206,N,Player,NA
55,bendech01,1942,BBWAA,233,175,N,Player,NA
40,bendech01,1945,BBWAA,247,186,N,Player,NA
35,bendech01,1946,Final Ballot,263,198,N,Player,NA
39,bendech01,1946,Nominating Vote,202,NA,N,Player,Players in top 20 proceed to final ballot
72,bendech01,1947,BBWAA,161,121,N,Player,NA
5,bendech01,1948,BBWAA,121,91,N,Player,NA
2,bendech01,1949,BBWAA,153,115,N,Player,NA
6,bendech01,1950,BBWAA,168,126,N,Player,NA
35,bendech01,1951,BBWAA,226,170,N,Player,NA
70,bendech01,1952,BBWAA,234,176,N,Player,NA
104,bendech01,1953,BBWAA,264,198,N,Player,NA
NA,bendech01,1953,Veterans,NA,NA,Y,Player,NA
1,benitar01,2014,BBWAA,571,429,N,Player,NA
3,bennech01,1936,Veterans,78,59,N,Player,NA
1,bentola01,1958,BBWAA,266,200,N,Player,NA
2,bergema01,1937,BBWAA,201,151,N,Player,NA
1,bergema01,1938,BBWAA,262,197,N,Player,NA
1,bergema01,1939,BBWAA,274,206,N,Player,NA
1,bergewa01,1956,BBWAA,193,145,N,Player,NA
2,bergewa01,1958,BBWAA,266,200,N,Player,NA
NA,bergewa01,2003,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,bergewa01,2005,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,bergewa01,2007,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
4,bergmo01,1958,BBWAA,266,200,N,Player,NA
5,bergmo01,1960,BBWAA,269,202,N,Player,NA
5,berkmla01,2019,BBWAA,425,319,N,Player,NA
242,berrayo01,1971,BBWAA,360,270,N,Player,NA
339,berrayo01,1972,BBWAA,396,297,Y,Player,NA
1,berrych02,1955,BBWAA,251,189,N,Player,NA
3,berrych02,1958,BBWAA,266,200,N,Player,NA
0,berryke01,1981,BBWAA,401,301,N,Player,NA
1,bibbyji01,1990,BBWAA,444,333,N,Player,NA
3,bicheda01,2007,BBWAA,545,409,N,Player,NA
1,bigbeca01,1948,BBWAA,121,91,N,Player,NA
388,biggicr01,2013,BBWAA,569,427,N,Player,NA
427,biggicr01,2014,BBWAA,571,429,N,Player,NA
454,biggicr01,2015,BBWAA,549,412,Y,Player,NA
1,billija01,1986,BBWAA,425,319,N,Player,NA
1,bishoma01,1955,BBWAA,251,189,N,Player,NA
1,bishoma01,1956,BBWAA,193,145,N,Player,NA
4,bishoma01,1958,BBWAA,266,200,N,Player,NA
5,bishoma01,1960,BBWAA,269,202,N,Player,NA
5,blackew01,1968,BBWAA,283,213,N,Player,NA
11,blackew01,1969,BBWAA,340,255,N,Player,NA
14,blackew01,1970,BBWAA,300,225,N,Player,NA
1,bladera01,1958,BBWAA,266,200,N,Player,NA
1,bladera01,1960,BBWAA,269,202,N,Player,NA
8,blairpa01,1986,BBWAA,425,319,N,Player,NA
0,blakeca01,2017,BBWAA,442,332,N,Player,NA
2,blassst01,1980,BBWAA,385,289,N,Player,NA
2,bluegos01,1948,BBWAA,121,91,N,Player,NA
1,bluegos01,1949,BBWAA,153,115,N,Player,NA
1,bluegos01,1954,BBWAA,252,189,N,Player,NA
2,bluegos01,1956,BBWAA,193,145,N,Player,NA
2,bluegos01,1958,BBWAA,266,200,N,Player,NA
3,bluegos01,1960,BBWAA,269,202,N,Player,NA
1,bluelu01,1954,BBWAA,252,189,N,Player,NA
23,bluevi01,1992,BBWAA,430,323,N,Player,NA
37,bluevi01,1993,BBWAA,423,318,N,Player,NA
14,bluevi01,1994,BBWAA,456,342,N,Player,NA
26,bluevi01,1995,BBWAA,460,345,N,Player,NA
NA,bluevi01,2011,Veterans - Expansion Era,16,12,N,Player,<8 votes
83,blylebe01,1998,BBWAA,473,355,N,Player,NA
70,blylebe01,1999,BBWAA,497,373,N,Player,NA
87,blylebe01,2000,BBWAA,499,375,N,Player,NA
121,blylebe01,2001,BBWAA,515,387,N,Player,NA
124,blylebe01,2002,BBWAA,472,354,N,Player,NA
145,blylebe01,2003,BBWAA,496,372,N,Player,NA
179,blylebe01,2004,BBWAA,506,380,N,Player,NA
211,blylebe01,2005,BBWAA,516,387,N,Player,NA
277,blylebe01,2006,BBWAA,520,390,N,Player,NA
260,blylebe01,2007,BBWAA,545,409,N,Player,NA
336,blylebe01,2008,BBWAA,543,408,N,Player,NA
338,blylebe01,2009,BBWAA,539,405,N,Player,NA
400,blylebe01,2010,BBWAA,539,405,N,Player,NA
463,blylebe01,2011,BBWAA,581,436,Y,Player,NA
0,boccajo01,1980,BBWAA,385,289,N,Player,NA
0,boddimi01,1999,BBWAA,497,373,N,Player,NA
2,bodiepi01,1937,BBWAA,201,151,N,Player,NA
1,bodiepi01,1949,BBWAA,153,115,N,Player,NA
474,boggswa01,2005,BBWAA,516,387,Y,Player,NA
1,boleyjo01,1942,BBWAA,233,175,N,Player,NA
0,bolinbo01,1979,BBWAA,432,324,N,Player,NA
206,bondsba01,2013,BBWAA,569,427,N,Player,NA
198,bondsba01,2014,BBWAA,571,429,N,Player,NA
202,bondsba01,2015,BBWAA,549,412,N,Player,NA
195,bondsba01,2016,BBWAA,440,330,N,Player,NA
238,bondsba01,2017,BBWAA,442,332,N,Player,NA
238,bondsba01,2018,BBWAA,422,317,N,Player,NA
251,bondsba01,2019,BBWAA,425,319,N,Player,NA
241,bondsba01,2020,BBWAA,397,298,N,Player,NA
248,bondsba01,2021,BBWAA,401,301,N,Player,NA
260,bondsba01,2022,BBWAA,394,296,N,Player,NA
NA,bondsba01,2023,Contemporary Era,16,12,N,Player,<4 votes
24,bondsbo01,1987,BBWAA,413,310,N,Player,NA
27,bondsbo01,1988,BBWAA,427,321,N,Player,NA
29,bondsbo01,1989,BBWAA,447,336,N,Player,NA
30,bondsbo01,1990,BBWAA,444,333,N,Player,NA
39,bondsbo01,1991,BBWAA,443,333,N,Player,NA
40,bondsbo01,1992,BBWAA,430,323,N,Player,NA
45,bondsbo01,1993,BBWAA,423,318,N,Player,NA
37,bondsbo01,1994,BBWAA,456,342,N,Player,NA
35,bondsbo01,1995,BBWAA,460,345,N,Player,NA
24,bondsbo01,1996,BBWAA,470,353,N,Player,NA
20,bondsbo01,1997,BBWAA,473,353,N,Player,NA
5,bondsbo01,2003,Veterans - Players,81,61,N,Player,NA
4,bondsbo01,2005,Veterans - Players,80,60,N,Player,NA
1,bondsbo01,2007,Veterans - Players,84,62,N,Player,NA
1,bondto01,1936,Veterans,78,59,N,Player,NA
2,bonilbo01,2007,BBWAA,545,409,N,Player,NA
2,booneaa01,2015,BBWAA,549,412,N,Player,NA
36,boonebo01,1996,BBWAA,470,353,N,Player,NA
28,boonebo01,1997,BBWAA,473,353,N,Player,NA
26,boonebo01,1998,BBWAA,473,355,N,Player,NA
27,boonebo01,1999,BBWAA,497,373,N,Player,NA
21,boonebo01,2000,BBWAA,499,375,N,Player,NA
1,boonebr01,2011,BBWAA,581,436,N,Player,NA
4,bottoji01,1948,BBWAA,121,91,N,Player,NA
8,bottoji01,1949,BBWAA,153,115,N,Player,NA
8,bottoji01,1950,BBWAA,168,126,N,Player,NA
6,bottoji01,1951,BBWAA,226,170,N,Player,NA
7,bottoji01,1952,BBWAA,234,176,N,Player,NA
10,bottoji01,1953,BBWAA,264,198,N,Player,NA
16,bottoji01,1954,BBWAA,252,189,N,Player,NA
26,bottoji01,1955,BBWAA,251,189,N,Player,NA
42,bottoji01,1956,BBWAA,193,145,N,Player,NA
57,bottoji01,1958,BBWAA,266,200,N,Player,NA
89,bottoji01,1960,BBWAA,269,202,N,Player,NA
20,bottoji01,1962,BBWAA,160,120,N,Player,NA
NA,bottoji01,1963,Veterans,NA,NA,N,Player,Group B - Rule change removed from BBWAA ballot - two could be elected from Group B
NA,bottoji01,1964,Veterans,NA,NA,N,Player,NA
NA,bottoji01,1968,Veterans,NA,NA,N,Player,NA
NA,bottoji01,1971,Veterans,NA,NA,N,Player,NA
NA,bottoji01,1973,Veterans,NA,NA,N,Player,NA
NA,bottoji01,1974,Veterans,NA,NA,Y,Player,NA
2,boudrlo01,1956,BBWAA,193,145,N,Player,NA
64,boudrlo01,1958,BBWAA,266,200,N,Player,NA
35,boudrlo01,1960,BBWAA,269,202,N,Player,NA
12,boudrlo01,1962,BBWAA,160,120,N,Player,NA
68,boudrlo01,1964,BBWAA,201,151,N,Player,NA
43,boudrlo01,1964,Run Off,201,NA,N,Player,Player receiving most votes inducted
115,boudrlo01,1966,BBWAA,302,227,N,Player,NA
143,boudrlo01,1967,BBWAA,292,219,N,Player,NA
68,boudrlo01,1967,Run Off,306,NA,N,Player,Player receiving most votes inducted
146,boudrlo01,1968,BBWAA,283,213,N,Player,NA
218,boudrlo01,1969,BBWAA,340,255,N,Player,NA
232,boudrlo01,1970,BBWAA,300,225,Y,Player,NA
3,boutoji01,1984,BBWAA,403,303,N,Player,NA
11,bowala01,1991,BBWAA,443,333,N,Player,NA
NA,bowala01,2007,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
1,boyercl02,1978,BBWAA,379,285,N,Player,NA
3,boyercl02,1979,BBWAA,432,324,N,Player,NA
9,boyerke01,1975,BBWAA,362,272,N,Player,NA
15,boyerke01,1976,BBWAA,388,291,N,Player,NA
14,boyerke01,1977,BBWAA,383,288,N,Player,NA
18,boyerke01,1978,BBWAA,379,285,N,Player,NA
20,boyerke01,1979,BBWAA,432,324,N,Player,NA
68,boyerke01,1985,BBWAA,395,297,N,Player,NA
95,boyerke01,1986,BBWAA,425,319,N,Player,NA
96,boyerke01,1987,BBWAA,413,310,N,Player,NA
109,boyerke01,1988,BBWAA,427,321,N,Player,NA
62,boyerke01,1989,BBWAA,447,336,N,Player,NA
78,boyerke01,1990,BBWAA,444,333,N,Player,NA
58,boyerke01,1991,BBWAA,443,333,N,Player,NA
71,boyerke01,1992,BBWAA,430,323,N,Player,NA
69,boyerke01,1993,BBWAA,423,318,N,Player,NA
54,boyerke01,1994,BBWAA,456,342,N,Player,NA
NA,boyerke01,1998,Veterans,NA,NA,N,Player,NA
11,boyerke01,2003,Veterans - Players,81,61,N,Player,NA
15,boyerke01,2005,Veterans - Players,80,60,N,Player,NA
9,boyerke01,2007,Veterans - Players,84,62,N,Player,NA
NA,boyerke01,2009,Veterans - 1943 and Later,NA,NA,Y,Player,Preliminary poll
NA,boyerke01,2012,Veterans - Golden Era,16,12,N,Player,<3 votes
NA,boyerke01,2015,Veterans - Golden Era,16,12,N,Player,<3 votes
NA,boyerke01,2022,Veterans - Golden Age Era,16,12,N,Player,<4 votes
1,bradlbi01,1936,BBWAA,226,170,N,Player,NA
5,bradlbi01,1937,BBWAA,201,151,N,Player,NA
2,bradlbi01,1938,BBWAA,262,197,N,Player,NA
1,bradlbi01,1939,BBWAA,274,206,N,Player,NA
1,bradlbi01,1942,BBWAA,233,175,N,Player,NA
1,bradlbi01,1946,Nominating Vote,202,NA,N,Player,Players in top 20 proceed to final ballot
NA,bradlbi01,1953,Veterans,NA,NA,N,Player,NA
NA,bradlbi01,1955,Veterans,NA,NA,N,Player,NA
NA,bradlbi01,1961,Veterans,NA,NA,N,Player,Preliminary poll
NA,bradlbi01,1962,Veterans,NA,NA,N,Player,NA
NA,bradlbi01,1963,Veterans,NA,NA,N,Player,Group A - Holdover from 1962 ballot - two could be elected from Group A
NA,breadsa99,2003,Veterans - Contributors,NA,NA,N,Executive,Preliminary ballot (60 contributors)
NA,breadsa99,2007,Veterans - Contributors,NA,NA,N,Executive,Preliminary ballot (60 contributors)
NA,breadsa99,2010,Veterans - Executives,16,12,N,Executive,<3 votes
NA,breadsa99,2013,Veterans - Pre-Integration Era,16,12,N,Executive,<3 votes
NA,breadsa99,2016,Veterans - Pre-Integration Era,16,12,N,Executive,<4 votes
7,brechha01,1960,BBWAA,269,202,N,Player,NA
3,brechha01,1968,BBWAA,283,213,N,Player,NA
2,brechha01,1969,BBWAA,340,255,N,Player,NA
3,brechha01,1970,BBWAA,300,225,N,Player,NA
7,brechha01,1971,BBWAA,360,270,N,Player,NA
5,brechha01,1972,BBWAA,396,297,N,Player,NA
3,brechha01,1973,BBWAA,380,285,N,Player,NA
NA,brechha01,1981,Veterans,NA,NA,N,Player,Nominated for one-time review at 1981 Veterans Committee meeting
NA,brechha01,2003,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,brechha01,2005,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,brechha01,2007,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
1,breitte01,1937,BBWAA,201,151,N,Player,NA
47,bresnro01,1936,BBWAA,226,170,N,Player,NA
43,bresnro01,1937,BBWAA,201,151,N,Player,NA
67,bresnro01,1938,BBWAA,262,197,N,Player,NA
67,bresnro01,1939,BBWAA,274,206,N,Player,NA
57,bresnro01,1942,BBWAA,233,175,N,Player,NA
133,bresnro01,1945,BBWAA,247,186,N,Player,NA
NA,bresnro01,1945,Old Timers,NA,NA,Y,Player,NA
488,brettge01,1999,BBWAA,497,373,Y,Player,NA
NA,brewech02,1982,Veterans,NA,NA,N,Player,NA
NA,brewech02,2006,Negro League,NA,NA,N,Player,NA
2,breweji01,1982,BBWAA,415,312,N,Player,NA
3,bridgto01,1956,BBWAA,193,145,N,Player,NA
11,bridgto01,1958,BBWAA,266,200,N,Player,NA
4,bridgto01,1960,BBWAA,269,202,N,Player,NA
1,bridgto01,1962,BBWAA,160,120,N,Player,NA
15,bridgto01,1964,BBWAA,201,151,N,Player,NA
1,bridgto01,1964,Run Off,201,NA,N,Player,Player receiving most votes inducted
16,bridgto01,1966,BBWAA,302,227,N,Player,NA
NA,bridgto01,1981,Veterans,NA,NA,N,Player,Nominated for one-time review at 1981 Veterans Committee meeting
NA,bridgto01,2003,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,bridgto01,2005,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,bridgto01,2007,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
0,briggjo02,1981,BBWAA,401,301,N,Player,NA
1,brilene01,1984,BBWAA,403,303,N,Player,NA
315,brocklo01,1985,BBWAA,395,297,Y,Player,NA
NA,brodist01,1998,Veterans,NA,NA,N,Player,NA
NA,bronfch99,2003,Veterans - Contributors,NA,NA,N,Executive,Preliminary ballot (60 contributors)
NA,bronfch99,2007,Veterans - Contributors,NA,NA,N,Executive,Preliminary ballot (60 contributors)
0,brookhu01,2000,BBWAA,499,375,N,Player,NA
0,brosisc01,2007,BBWAA,545,409,N,Player,NA
2,broutda01,1936,Veterans,78,59,N,Player,NA
NA,broutda01,1945,Old Timers,NA,NA,Y,Player,NA
1,brownga01,1981,BBWAA,401,301,N,Player,NA
0,brownga01,1982,BBWAA,415,312,N,Player,NA
12,brownke01,2011,BBWAA,581,436,N,Player,NA
0,brownla01,1980,BBWAA,385,289,N,Player,NA
6,brownmo01,1936,BBWAA,226,170,N,Player,NA
31,brownmo01,1937,BBWAA,201,151,N,Player,NA
54,brownmo01,1938,BBWAA,262,197,N,Player,NA
54,brownmo01,1939,BBWAA,274,206,N,Player,NA
63,brownmo01,1942,BBWAA,233,175,N,Player,NA
46,brownmo01,1945,BBWAA,247,186,N,Player,NA
48,brownmo01,1946,Final Ballot,263,198,N,Player,NA
56,brownmo01,1946,Nominating Vote,202,NA,N,Player,Players in top 20 proceed to final ballot
NA,brownmo01,1949,Old Timers,NA,NA,Y,Player,NA
NA,brownpe01,1977,Veterans,NA,NA,N,Player,NA
NA,brownpe01,1995,Veterans,NA,NA,N,Player,NA
NA,brownpe01,2003,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,brownpe01,2005,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,brownpe01,2007,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,brownra99,2006,Negro League,NA,NA,Y,Player,NA
1,brownto05,2001,BBWAA,515,387,N,Player,NA
NA,brownwi02,2006,Negro League,NA,NA,Y,Player,NA
NA,brushjo99,1980,Veterans,NA,NA,N,Executive,NA
NA,brushjo99,1982,Veterans,NA,NA,N,Executive,NA
1,brutobi01,1971,BBWAA,360,270,N,Player,NA
10,bucknbi01,1996,BBWAA,470,353,N,Player,NA
44,buehrma01,2021,BBWAA,401,301,N,Player,NA
23,buehrma01,2022,BBWAA,394,296,N,Player,NA
42,buehrma01,2023,BBWAA,389,292,N,Player,NA
32,buehrma01,2024,BBWAA,385,289,N,Player,NA
NA,buffich01,1953,Veterans,NA,NA,N,Player,NA
NA,buffich01,1955,Veterans,NA,NA,N,Player,NA
NA,buffich01,1982,Veterans,NA,NA,N,Player,NA
NA,buffich01,1984,Veterans,NA,NA,N,Player,NA
NA,buffich01,2003,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,buffich01,2005,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,buffich01,2007,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
1,buhneja01,2007,BBWAA,545,409,N,Player,NA
NA,bulkemo99,1937,Centennial,NA,NA,Y,Pioneer/Executive,NA
0,bumbral01,1991,BBWAA,443,333,N,Player,NA
146,bunniji01,1977,BBWAA,383,288,N,Player,NA
181,bunniji01,1978,BBWAA,379,285,N,Player,NA
147,bunniji01,1979,BBWAA,432,324,N,Player,NA
177,bunniji01,1980,BBWAA,385,289,N,Player,NA
164,bunniji01,1981,BBWAA,401,301,N,Player,NA
138,bunniji01,1982,BBWAA,415,312,N,Player,NA
138,bunniji01,1983,BBWAA,374,281,N,Player,NA
201,bunniji01,1984,BBWAA,403,303,N,Player,NA
214,bunniji01,1985,BBWAA,395,297,N,Player,NA
279,bunniji01,1986,BBWAA,425,319,N,Player,NA
289,bunniji01,1987,BBWAA,413,310,N,Player,NA
317,bunniji01,1988,BBWAA,427,321,N,Player,NA
283,bunniji01,1989,BBWAA,447,336,N,Player,NA
257,bunniji01,1990,BBWAA,444,333,N,Player,NA
282,bunniji01,1991,BBWAA,443,333,N,Player,NA
NA,bunniji01,1995,Veterans,NA,NA,N,Player,NA
NA,bunniji01,1996,Veterans,14,11,Y,Player,NA
